run_label,scenario,seed,device,sim_time_ms,utilization_fraction
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,625.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,625.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,625.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,650.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,650.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,650.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,650.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,650.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,675.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,675.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,675.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,675.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,675.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,700.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,700.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,700.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,700.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,700.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,725.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,725.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,725.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,725.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,725.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,750.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,750.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,750.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,750.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,750.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,775.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,775.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,775.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,775.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,775.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,800.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,800.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,800.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,800.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,800.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,825.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,825.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,825.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,825.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,825.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,850.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,850.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,850.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,850.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,850.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,875.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,875.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,875.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,875.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,875.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,900.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,900.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,900.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,900.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,900.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,925.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,925.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,925.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,925.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,925.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,950.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,950.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,950.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,950.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,950.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,975.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,975.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,975.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,975.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,975.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1000.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1000.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1000.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1000.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1000.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1025.000,0.040000
